dgp,target_censoring,realised_censoring_mean,unsupported_share_mean,select_chose_km_frac,select_chose_weibull_frac,select_chose_lognormal_frac,mae_km_mean,mae_km_ci,mae_weibull_mean,mae_weibull_ci,mae_lognormal_mean,mae_lognormal_ci,mae_select_mean,mae_select_ci,matched_tail
weibull,0.1,0.1000702049845132,0.4054075343066161,0.7583333333333333,0.23333333333333334,0.008333333333333333,0.004362807262568413,0.00043898992379868537,0.0039104250571912,0.0003772242258346463,0.003984763192729476,0.0003800984918581645,0.004289843635819307,0.00043623109983217576,weibull
weibull,0.3,0.3004202335745089,0.35814872856258595,0.4583333333333333,0.5,0.041666666666666664,0.044385849084678936,0.005159377765423696,0.014392517658262693,0.0014320120200522575,0.02012238838042265,0.002138388039712692,0.02628137393037019,0.004657812045935869,weibull
weibull,0.5,0.49905704902481834,0.49735022664891015,0.3,0.5916666666666667,0.10833333333333334,0.09586125486991369,0.007294366536087945,0.027445680900026907,0.0033220341587577346,0.03871377948532276,0.0036983984426842784,0.05046876022869305,0.007531155882575528,weibull
weibull,0.7,0.6960823787767565,0.5727480450225921,0.2833333333333333,0.5833333333333334,0.13333333333333333,0.10266421409773702,0.007520187201445919,0.040146920244000926,0.005651520469547726,0.04212805532407269,0.005148447114375724,0.059606942855903115,0.007854898987246405,weibull
lognormal,0.1,0.09996924061826645,0.24725797529158838,0.2833333333333333,0.0,0.7166666666666667,0.00886381068434723,0.0009368360607457023,0.005976325118808928,0.0005242925482188757,0.005481573078037457,0.000470030064866283,0.006435715528027751,0.0006507305614169887,lognormal
lognormal,0.3,0.3002330455489149,0.34486152337107717,0.25,0.09166666666666666,0.6583333333333333,0.043231596441716834,0.00452590058319304,0.030911080404424484,0.0025031489552425215,0.013668434904222102,0.001617554751685352,0.022721800922350335,0.0038036674543235546,lognormal
lognormal,0.5,0.5013947655847106,0.492540137147502,0.13333333333333333,0.18333333333333332,0.6833333333333333,0.08339480224991132,0.005437814838968694,0.06335889638359753,0.0032511730538221793,0.01893022092500028,0.002384679851708582,0.038487856701762864,0.00619644089001313,lognormal
lognormal,0.7,0.700589008872521,0.5628293873246238,0.13333333333333333,0.3,0.5666666666666667,0.09894507677762764,0.007212368869089432,0.08544865102634379,0.006040548521256974,0.029689970435077664,0.00546829789939524,0.055186348758619656,0.008128636612819437,lognormal
gamma,0.1,0.10011624253683915,0.4026068692211652,0.9333333333333333,0.058333333333333334,0.008333333333333333,0.004139415857581412,0.0004494328957452232,0.0035051755115422752,0.00033564819262859,0.003592175540008007,0.0003440218409845131,0.004101964860981873,0.0004488219645860986,none
gamma,0.3,0.3002142061843237,0.34572014369794785,0.6083333333333333,0.23333333333333334,0.15833333333333333,0.03896713611610716,0.004500298243048643,0.01447369764834692,0.0013938751373468543,0.015083561859455502,0.0014860474445870541,0.0292162245998433,0.004077442603713536,none
gamma,0.5,0.4989333303532431,0.4816430824383622,0.375,0.425,0.2,0.08981329067806401,0.006296271097869648,0.03619280196731192,0.0033380139742493348,0.029274051744121597,0.002976943173264384,0.051997526194609546,0.006048899038787564,none
gamma,0.7,0.7003577910900524,0.5575153311113025,0.15833333333333333,0.4583333333333333,0.38333333333333336,0.10445151058128219,0.0070698052854215095,0.05206831301248157,0.005019058596685346,0.033094507466569376,0.0033477301062084797,0.05347396823793571,0.00595944159836365,none
